,abv,ibu,id,name,style,brewery_id
1539,0.045,,1381,Endless Sun Ale,American Pale Wheat Ale,301
1540,0.065,,900,Celestial Blonde Ale,American Blonde Ale,301
1541,0.075,,891,Overbite IPA,American IPA,301
1542,0.055,,509,T-Rail Pale Ale,American Pale Ale (APA),301
1543,0.048,,508,Endless Summer Ale (2011),American Pale Wheat Ale,301
1544,0.053,,1530,Clem's Gold,American Pale Lager,390
1545,0.055,,1529,Lizzy's Red,American Amber / Red Lager,390
1546,0.067,,1528,Orlison India Pale Lager,American Pale Lager,390
1547,0.042,,1527,Brünette,Euro Dark Lager,390
1548,0.041,,1526,Havanüther,Light Lager,390
1549,0.065,,2113,Lyric Ale,Saison / Farmhouse Ale,216
1550,0.053,,2112,Atalanta,Saison / Farmhouse Ale,216
1551,0.049,35.0,2302,Pinner Throwback IPA,American IPA,166
1552,0.052000000000000005,,1883,Centennial State Pale Ale,American Pale Ale (APA),166
1553,0.08,,1859,Old Chub NITRO,Scotch Ale / Wee Heavy,166
1554,,,1796,The CROWLER™,,166
1555,,,1790,CAN'D AID Foundation,,166
1556,,,1752,Icey.P.A.,American IPA,166
1557,0.05,,1751,One Nut Brown,English Brown Ale,166
1558,,,1750,Birth IPA,American IPA,166
1559,0.065,65.0,1444,Dale's Pale Ale,American Pale Ale (APA),166
1560,0.065,65.0,1252,Dale's Pale Ale,American Pale Ale (APA),166
1561,0.053,35.0,1167,Mama's Little Yella Pils,Czech Pilsener,166
1562,0.085,,993,oSKAr the G'Rauch,American IPA,166
1563,0.085,,992,oSKAr the G'Rauch,American IPA,166
1564,0.065,65.0,955,Dale's Pale Ale,American Pale Ale (APA),166
1565,0.07,,933,The Deuce,American Brown Ale,166
1566,0.065,65.0,892,Dale's Pale Ale (10 Year Anniversary),American Pale Ale (APA),166
1567,0.065,65.0,828,Dale's Pale Ale (2012),American Pale Ale (APA),166
1568,0.087,85.0,806,Gordon Imperial Red (2010),American Double / Imperial IPA,166
1569,0.065,65.0,755,Dale's Pale Ale (2011),American Pale Ale (APA),166
1570,0.065,65.0,754,Dale's Pale Ale (2010),American Pale Ale (APA),166
1571,0.087,85.0,726,G'KNIGHT (16 oz.),American Double / Imperial IPA,166
1572,0.09,,720,15th Anniversary Abbey Ale (2012),Belgian Dark Ale,166
1573,0.08,,661,Chaka,Belgian Strong Pale Ale,166
1574,0.08,70.0,585,HGH (Home Grown Hops): Part Duh,American Strong Ale,166
1575,0.08,,565,Deviant Dale's IPA,American Double / Imperial IPA,166
1576,0.09,60.0,391,One Hit Wonder,American Double / Imperial IPA,166
1577,0.087,85.0,388,G'KNIGHT (12 oz.),American Double / Imperial IPA,166
1578,0.099,98.0,8,Ten Fidy Imperial Stout,Russian Imperial Stout,166
1579,0.053,35.0,7,Mama's Little Yella Pils,Czech Pilsener,166
1580,0.099,100.0,6,GUBNA Imperial IPA,American Double / Imperial IPA,166
