,abv,ibu,id,beer_name,style,brewery_id,brewery_name,city,state
237,0.056,,1155,Big Bend Hefeweizen,Hefeweizen,463,Big Bend Brewing Company,Alpine, TX
238,0.06,,1154,Terlingua Gold,American Blonde Ale,463,Big Bend Brewing Company,Alpine, TX
239,0.081,17.0,2104,Aprè Shred,American Strong Ale,220,Big Choice Brewing,Broomfield, CO
240,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,Big Choice Brewing,Broomfield, CO
241,0.041,,1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220,Big Choice Brewing,Broomfield, CO
242,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,Big Choice Brewing,Broomfield, CO
243,0.07,,1003,Big Elm IPA,American IPA,477,Big Elm Brewing,Sheffield, MA
244,0.065,,1002,Gerry Dog Stout,American Stout,477,Big Elm Brewing,Sheffield, MA
245,0.06,,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,477,Big Elm Brewing,Sheffield, MA
246,0.08,54.0,2639,Dark Star,American Stout,8,Big Lake Brewing,Holland, MI
247,0.062,,2469,Ryecoe,American IPA,8,Big Lake Brewing,Holland, MI
248,0.06,,2586,Blueberry Blonde,Fruit / Vegetable Beer,40,Big Muddy Brewing,Murphysboro, IL
249,0.075,60.0,2585,Galaxy IPA,American IPA,40,Big Muddy Brewing,Murphysboro, IL
250,0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,Big River Brewing Company,Chattanooga, TN
251,0.06,55.0,632,House Brand IPA,American IPA,519,Big River Brewing Company,Chattanooga, TN
252,0.062,65.0,1714,Big Sky IPA,American IPA,336,Big Sky Brewing Company,Missoula, MT
253,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,Big Sky Brewing Company,Missoula, MT
254,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,Big Sky Brewing Company,Missoula, MT
255,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,Big Sky Brewing Company,Missoula, MT
256,0.07200000000000001,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,Big Sky Brewing Company,Missoula, MT
257,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,Big Sky Brewing Company,Missoula, MT
258,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,Big Sky Brewing Company,Missoula, MT
259,0.062,65.0,579,Big Sky IPA (2012),American IPA,336,Big Sky Brewing Company,Missoula, MT
260,0.047,,168,Summer Honey,American Blonde Ale,336,Big Sky Brewing Company,Missoula, MT
261,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,Big Sky Brewing Company,Missoula, MT
262,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,Big Sky Brewing Company,Missoula, MT
263,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,Big Sky Brewing Company,Missoula, MT
264,0.069,81.0,2096,Arcus IPA,American IPA,221,Big Storm Brewing Company,Odessa, FL
265,0.058,38.0,2095,Wavemaker,American Amber / Red Ale,221,Big Storm Brewing Company,Odessa, FL
266,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,Big Wood Brewery,Vadnais Heights, MN
267,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,Big Wood Brewery,Vadnais Heights, MN
268,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,Big Wood Brewery,Vadnais Heights, MN
269,0.055,35.0,986,Morning Wood,Oatmeal Stout,444,Big Wood Brewery,Vadnais Heights, MN
270,0.066,50.0,985,Bark Bite IPA,American IPA,444,Big Wood Brewery,Vadnais Heights, MN
271,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,Birdsong Brewing Company,Charlotte, NC
272,0.052000000000000005,,1441,Blown Out Brown,American Brown Ale,407,Bitter Root Brewing,Hamilton, MT
273,0.063,,1413,Single Hop Ale,American Pale Ale (APA),407,Bitter Root Brewing,Hamilton, MT
274,0.054000000000000006,,1411,Sawtooth Ale,American Blonde Ale,407,Bitter Root Brewing,Hamilton, MT
275,0.07200000000000001,75.0,2620,Saucy Intruder,Rye Beer,18,Black Acre Brewing Co.,Indianapolis, IN
276,0.045,16.0,2412,Deception,American Blonde Ale,112,Black Market Brewing Company,Temecula, CA
